,speed_inorg,speed_org,inkfl_inorg,inkfl_org,conc_inorg,conc_org,temperature_c,absolute_humidity,,PCE,Stability,Repeatability
units,m/min,m/min,uL/min,uL/min,M,M,F,g/m^3,,,,
start,0.25,0.25,80,100,0.8,0.4,20,2,,,,
stop,1,1,240,280,1.4,1.2,50,37,,,,
step,0.01,0.01,1,1,0.05,0.05,1,1,,,,
,,,,,,,,,,,,
,0.58,0.3,190,134,0.85,0.75,24.7,3,,0,0,10
,0.95,0.58,170,246,0.9,0.85,44,19,,0,0,10
,0.67,0.95,150,179,1.05,1.15,31.8,6,,0,0,10
,0.77,0.39,130,269,1.15,0.65,28.5,6,,0,0,10
,0.39,0.67,230,201,1.2,0.55,41.6,15,,10.69,1.35,3.333333333
,0.3,0.86,90,224,1.3,0.95,41.6,19,,0,0,10
,0.86,0.48,210,111,1.35,1.05,36.3,16,,16.43,5.68,0.952380952
,0.3,0.3,82.5,120,1.4,0.4,23.2,2,,17.22,0.9,0.735294118
,0.92,0.39,213,181,1.35,1,45.1,9,,0.54,1.09,0.392156863
,0.89,0.36,228,280,1.4,0.65,46.5,15,,0,0,10
,0.3,0.67,240,213,1.4,1.05,38.2,2,,16.83,4.68,1.282051282
,0.43,0.85,213,254,1.35,1.15,42,9,,2.18,0,3.125
